CD_NOM	PLUS_RECENTE_DIFFUSION	CD_NOM_REMPLACEMENT	CD_RAISON_SUPPRESSION	RAISON_SUPPRESSION
7784	7.0	148247	1	cd_nom de remplacement à utiliser.
7786	7.0	224116	1	cd_nom de remplacement à utiliser.
7797	7.0	242607	1	cd_nom de remplacement à utiliser.
7799	7.0	222154	1	cd_nom de remplacement à utiliser.
7801	7.0	222157	1	cd_nom de remplacement à utiliser.
7803	7.0	244665	1	cd_nom de remplacement à utiliser.
7811	7.0	223063	1	cd_nom de remplacement à utiliser.
7823	7.0	243206	1	cd_nom de remplacement à utiliser.
7825	7.0	223154	1	cd_nom de remplacement à utiliser.
7829	7.0	223336	1	cd_nom de remplacement à utiliser.
7831	7.0	222076	1	cd_nom de remplacement à utiliser.
7834	7.0	242041	1	cd_nom de remplacement à utiliser.
7836	7.0	51541	1	cd_nom de remplacement à utiliser.
7840	7.0	234913	1	cd_nom de remplacement à utiliser.
7844	7.0	244246	1	cd_nom de remplacement à utiliser.
7849	7.0	223592	1	cd_nom de remplacement à utiliser.
7853	7.0	222112	1	cd_nom de remplacement à utiliser.
7855	7.0	240480	1	cd_nom de remplacement à utiliser.
7864	7.0	244683	1	cd_nom de remplacement à utiliser.
7872	7.0	222926	1	cd_nom de remplacement à utiliser.
7891	5.0	223817	1	cd_nom de remplacement à utiliser.
7892	5.0	223817	1	cd_nom de remplacement à utiliser.
7900	7.0	241060	1	cd_nom de remplacement à utiliser.
7904	7.0	221994	1	cd_nom de remplacement à utiliser.
7908	7.0	222053	1	cd_nom de remplacement à utiliser.
7910	7.0	238987	1	cd_nom de remplacement à utiliser.
7915	7.0	235429	1	cd_nom de remplacement à utiliser.
7917	7.0	239264	1	cd_nom de remplacement à utiliser.
7924	7.0	222671	1	cd_nom de remplacement à utiliser.
7926	7.0	223962	1	cd_nom de remplacement à utiliser.
7932	7.0	244675	1	cd_nom de remplacement à utiliser.
7951	7.0	240534	1	cd_nom de remplacement à utiliser.
7953	7.0	252471	1	cd_nom de remplacement à utiliser.
7954	7.0	240538	1	cd_nom de remplacement à utiliser.
7986	7.0	235069	1	cd_nom de remplacement à utiliser.
8008	7.0	244705	1	cd_nom de remplacement à utiliser.
8016	7.0	223538	1	cd_nom de remplacement à utiliser.
8024	7.0	241471	1	cd_nom de remplacement à utiliser.
8026	7.0	241486	1	cd_nom de remplacement à utiliser.
8028	7.0	238994	1	cd_nom de remplacement à utiliser.
8039	7.0	133718	1	cd_nom de remplacement à utiliser.
8051	7.0	243379	1	cd_nom de remplacement à utiliser.
8052	7.0	243408	1	cd_nom de remplacement à utiliser.
8055	7.0	243410	1	cd_nom de remplacement à utiliser.
8056	7.0	243388	1	cd_nom de remplacement à utiliser.
8059	7.0	243414	1	cd_nom de remplacement à utiliser.
8061	7.0			
8063	7.0	243397	1	cd_nom de remplacement à utiliser.
8065	7.0	243389	1	cd_nom de remplacement à utiliser.
8078	7.0	244700	1	cd_nom de remplacement à utiliser.
8085	7.0	239002	1	cd_nom de remplacement à utiliser.
8104	7.0	243252	1	cd_nom de remplacement à utiliser.
8110	7.0	243207	1	cd_nom de remplacement à utiliser.
8116	7.0	242659	1	cd_nom de remplacement à utiliser.
8141	7.0	238002	1	cd_nom de remplacement à utiliser.
8148	7.0	51833	1	cd_nom de remplacement à utiliser.
8160	7.0	222953	1	cd_nom de remplacement à utiliser.
8166	7.0	222666	1	cd_nom de remplacement à utiliser.
8169	7.0	222319	1	cd_nom de remplacement à utiliser.
8170	7.0	222322	1	cd_nom de remplacement à utiliser.
8177	7.0	223359	1	cd_nom de remplacement à utiliser.
8185	7.0	243312	1	cd_nom de remplacement à utiliser.
8211	7.0	223354	1	cd_nom de remplacement à utiliser.
8231	7.0	223352	1	cd_nom de remplacement à utiliser.
