"id_synthese";"id_source";"id_module";"entity_source_pk_value";"id_dataset";"id_nomenclature_geo_object_nature";"id_nomenclature_grp_typ";"grp_method";"id_nomenclature_obs_technique";"id_nomenclature_bio_status";"id_nomenclature_bio_condition";"id_nomenclature_naturalness";"id_nomenclature_exist_proof";"id_nomenclature_valid_status";"id_nomenclature_diffusion_level";"id_nomenclature_life_stage";"id_nomenclature_sex";"id_nomenclature_obj_count";"id_nomenclature_type_count";"count_min";"count_max";"cd_nom";"cd_hab";"nom_cite";"meta_v_taxref";"sample_number_proof";"digital_proof";"non_digital_proof";"altitude_min";"altitude_max";"depth_min";"depth_max";"place_name";"latitude";"longitude";"id_area_attachment";"date_min";"date_max";"validator";"validation_comment";"observers";"determiner";"id_digitiser";"id_nomenclature_determination_method";"comment_context";"comment_description"
;66;;"75817264";53;169;129;;58;;151;155;77;318;140;1;161;141;90;;;804697;;"Favolus";"TaxRef v14";;"https://www.inaturalist.org/observations/75817264";;;;;;"Saül, GF-SL, GF";"3.603486187";"-53.1944387597";;18/3/2021 00:00:00;18/3/2021 00:00:00;"Communauté iNaturalist";;"arthur_brisse";"arthur_brisse";;456;;"Très vieux favolus. Sur bois en fort état de décomposition. En pente douce"
;66;;"75817978";53;169;129;;58;;151;155;77;318;140;1;161;141;90;;;436965;;"Polyporales";"TaxRef v14";;"https://www.inaturalist.org/observations/75817978";;;;;;"Saül, GF-SL, GF";"3.6034637827";"-53.1943063359";;18/3/2021 00:00:00;18/3/2021 00:00:00;"Communauté iNaturalist";;"arthur_brisse";"arthur_brisse";;456;;"Jusqu'à 30 cm. Polypore sur vieux tronc. Coriace"
;66;;"75823424";53;169;129;;58;;151;155;77;318;140;1;161;141;90;;;192731;;"Geastrum";"TaxRef v14";;"https://www.inaturalist.org/observations/75823424";;;;;;"Saül, GF-SL, GF";"3.6005228775";"-53.1903063425";;18/3/2021 00:00:00;18/3/2021 00:00:00;"Communauté iNaturalist";;"arthur_brisse";"arthur_brisse";;456;;"Vieille geastre, sporee brune."
;66;;"78577630";54;169;129;;58;;151;155;77;318;140;1;161;141;90;;;444468;;"Beaked Toads";"TaxRef v14";;"https://www.inaturalist.org/observations/78577630";;;;;;"Saül, Saint-Laurent-du-Maroni, GF";"3.9112398012";"-53.3081821413";;13/5/2021 00:00:00;13/5/2021 00:00:00;"Communauté iNaturalist";;"walterlily";"Communauté iNaturalist";;456;;
;66;;"81478960";53;169;129;;58;;151;155;77;318;140;1;161;141;90;;;194456;;"Marasmius";"TaxRef v14";;"https://www.inaturalist.org/observations/81478960";;;;;;"Saül, Guyane française, monts Galbao, Parc Amazonien de Guyane";"3.6019633333";"-53.2739083333";;14/2/2017 00:00:00;14/2/2017 00:00:00;"Communauté iNaturalist";;"sebsantpag";"sebsantpag";;456;;
;66;;"82146742";53;169;129;;58;;151;155;77;318;140;1;161;141;90;;;187499;;"Basidiomycota";"TaxRef v14";;"https://www.inaturalist.org/observations/82146742";;;;;;"Saül, GF-SL, GF";"3.5952567938";"-53.1790656125";;18/3/2021 00:00:00;18/3/2021 00:00:00;"Communauté iNaturalist";;"arthur_brisse";"arthur_brisse";;456;;"Pied libre, lames échancrées. Forêt de plateau, sol avec grosse litière de feuille"
;66;;"82481565";53;169;129;;58;;151;155;77;318;140;1;161;141;90;;;193450;;"Hygrocybe";"TaxRef v14";;"https://www.inaturalist.org/observations/82481565";;;;;;"Saül, GF-SL, GF";"3.6021668954";"-53.17788194";;18/3/2021 00:00:00;18/3/2021 00:00:00;"Communauté iNaturalist";;"arthur_brisse";"arthur_brisse";;456;;"Stipe jaune. Chapeau rouge à jaune en vieillissant. Chapeau convexe. Marge lisse. Lames alternées avec lamelles. Lames libres. En forêt de plateau près d'un marécage et d'une crique.
Odeur fleurie"
;66;;"82481736";53;169;129;;58;;151;155;77;318;140;1;161;141;90;;;187499;;"Basidiomycota";"TaxRef v14";;"https://www.inaturalist.org/observations/82481736";;;;;;"Saül, GF-SL, GF";"3.6037553602";"-53.1775771848";;18/3/2021 00:00:00;18/3/2021 00:00:00;"Communauté iNaturalist";;"arthur_brisse";"arthur_brisse";;456;;"Base d'un arbre bien vivant. En forêt de plateau dégagée, trouée de lumière ! Alternance lame lamelle lamellules. Lames décurrentes"
;66;;"82481835";53;169;129;;58;;151;155;77;318;140;1;161;141;90;;;187499;;"Basidiomycota";"TaxRef v14";;"https://www.inaturalist.org/observations/82481835";;;;;;"Saül, GF-SL, GF";"3.6115698401";"-53.1751665473";;18/3/2021 00:00:00;18/3/2021 00:00:00;"Communauté iNaturalist";;"arthur_brisse";"arthur_brisse";;456;;"Lame libre marron foncé. Chapeau plat, centre gris, reste blanc, bord marron. 4,5cm de diamètre pour le chapeau. Pied de 3 cm. Terrai. Plat assez sec."
;66;;"82481930";53;169;129;;58;;151;155;77;318;140;1;161;141;90;;;804818;;"Hygrocybe occidentalis";"TaxRef v14";;"https://www.inaturalist.org/observations/82481930";;;;;;"Saül, GF-SL, GF";"3.6225145";"-53.2087198";;19/3/2021 00:00:00;19/3/2021 00:00:00;"Communauté iNaturalist";;"arthur_brisse";"arthur_brisse";;456;;"En forêt de plateau. Après 5 jours sans pluie. Chapeau plat rouge. Lames lamelles alternées blanches, libres."
;66;;"82481993";53;169;129;;58;;151;155;77;318;140;1;161;141;90;;;187499;;"Basidiomycota";"TaxRef v14";;"https://www.inaturalist.org/observations/82481993";;;;;;"Saül, GF-SL, GF";"3.5933621741";"-53.2074502856";;20/3/2021 00:00:00;20/3/2021 00:00:00;"Communauté iNaturalist";;"arthur_brisse";"arthur_brisse";;456;;" Lames libres, brunes. Pied grêle. Chapeau plat avec bourrelet au centre. 4cm de diamètre. Stipe de 8 à 9 cm."
;66;;"82482077";53;169;129;;58;;151;155;77;318;140;1;161;141;90;;;187499;;"Basidiomycota";"TaxRef v14";;"https://www.inaturalist.org/observations/82482077";;;;;;"Saül, GF-SL, GF";"3.5973617561";"-53.2053941374";;20/3/2021 00:00:00;20/3/2021 00:00:00;"Communauté iNaturalist";;"arthur_brisse";"arthur_brisse";;456;;"Lames échancrées. Lames lamelles lamellules alternées. Chapeau concave, blanc à beige environ 5 cm de diamètre. Stipe environ 4 cm. Saprotrophe lingo cellulosique. Forêt secondaire"
;66;;"82482204";53;169;129;;58;;151;155;77;318;140;1;161;141;90;;;804697;;"Favolus";"TaxRef v14";;"https://www.inaturalist.org/observations/82482204";;;;;;"Saül, GF-SL, GF";"3.6202985814";"-53.208228091";;23/3/2021 00:00:00;23/3/2021 00:00:00;"Communauté iNaturalist";;"arthur_brisse";"arthur_brisse";;456;;"Sur bois mort"
;66;;"82482241";53;169;129;;58;;151;155;77;314;140;1;161;141;90;;;804383;;"Cookeina speciosa";"TaxRef v14";;"https://www.inaturalist.org/observations/82482241";;;;;;"Saül, GF-SL, GF";"3.6188099135";"-53.2079263141";;23/3/2021 00:00:00;23/3/2021 00:00:00;"Communauté iNaturalist";;"arthur_brisse";"Communauté iNaturalist";;456;;
