id_organisme;id_protocole;dateobs;observateurs;determinateur;taxon_saisi;cd_nom;X;Y;Cle;SRID;id_precision;altitude_retenue;id_critere_synthese;effectif_total;remarques;id_lot;id_source;id_data
2;146;3/7/2017;1204;1204;Alcis repandata (Linnaeus, 1758);248880;939851.55116935;6432668.3590426;;2154;1;2615;103;1;Piège à Cloche Moustiquaire - Dmerc 125W - Examen Macroscopique;54;13;3194
2;146;3/7/2017;1204;1204;Diarsia mendica (Fabricius, 1775);249265;939851.55116935;6432668.3590426;;2154;1;2615;103;1;Piège à Cloche Moustiquaire - Dmerc 125W - Examen Macroscopique;54;13;3195
2;146;3/7/2017;1204;1204;Mniotype adusta (Esper, 1790);249598;939851.55116935;6432668.3590426;;2154;1;2615;103;1;Piège à Cloche Moustiquaire - Dmerc 125W - Examen Macroscopique;54;13;3196
2;146;3/7/2017;1204;1204;Charissa glaucinaria (Hübner, 1799);458686;939851.55116935;6432668.3590426;;2154;1;2615;103;3;Piège à Cloche Moustiquaire - Dmerc 125W - Examen Macroscopique;54;13;3197
2;146;3/7/2017;1204;1204;Agrotis ipsilon (Hufnagel, 1766);249200;939851.55116935;6432668.3590426;;2154;1;2615;103;1;Piège à Cloche Moustiquaire - Dmerc 125W - Examen Macroscopique;54;13;3198
2;146;3/7/2017;1204;1204;Triphosa dubitata (Linnaeus, 1758);248745;939851.55116935;6432668.3590426;;2154;1;2615;103;1;Piège à Cloche Moustiquaire - Dmerc 125W - Examen Macroscopique;54;13;3199
2;146;3/7/2017;1204;1204;Polia nebulosa (Hufnagel, 1766);249450;939851.55116935;6432668.3590426;;2154;1;2615;103;1;Piège à Cloche Moustiquaire - Dmerc 125W - Examen Macroscopique;54;13;3200
2;146;3/7/2017;1204;1204;Eupithecia cretaceata (Packard, 1874);248660;939851.55116935;6432668.3590426;;2154;1;2615;103;1;Piège à Cloche Moustiquaire - Dmerc 125W - Examen Macroscopique;54;13;3201
2;146;4/7/2017;1204;1204;Leucania comma (Linnaeus, 1761);249563;940746.99769533;6434167.9465494;;2154;1;1942;103;1;Piège à Cloche Moustiquaire - Dmerc 125W - Examen Macroscopique;54;13;3202
2;146;4/7/2017;1204;1204;Aplocera praeformata (Hübner, 1826);248537;940746.99769533;6434167.9465494;;2154;1;1942;103;1;Piège à Cloche Moustiquaire - Dmerc 125W - Examen Macroscopique;54;13;3203
2;146;4/7/2017;1204;1204;Cosmorhoe ocellata (Linnaeus, 1758);248584;940746.99769533;6434167.9465494;;2154;1;1942;103;1;Piège à Cloche Moustiquaire - Dmerc 125W - Examen Macroscopique;54;13;3204
2;146;4/7/2017;1204;1204;Deilephila porcellus (Linnaeus, 1758);54856;940746.99769533;6434167.9465494;;2154;1;1942;103;1;Piège à Cloche Moustiquaire - Dmerc 125W - Examen Macroscopique;54;13;3205
2;146;4/7/2017;1204;1204;Xanthorhoe montanata (Denis & Schiffermüller, 1775);248791;940746.99769533;6434167.9465494;;2154;1;1942;103;1;Piège à Cloche Moustiquaire - Dmerc 125W - Examen Macroscopique;54;13;3206
2;146;4/7/2017;1204;1204;Thera cognata (Thunberg & Sebaldt, 1792);248558;940746.99769533;6434167.9465494;;2154;1;1942;103;1;Piège à Cloche Moustiquaire - Dmerc 125W - Examen Macroscopique;54;13;3207
2;146;4/7/2017;1204;1204;Alcis repandata (Linnaeus, 1758);248880;940746.99769533;6434167.9465494;;2154;1;1942;103;1;Piège à Cloche Moustiquaire - Dmerc 125W - Examen Macroscopique;54;13;3208
2;146;4/7/2017;1204;1204;Diarsia mendica (Fabricius, 1775);249265;940746.99769533;6434167.9465494;;2154;1;1942;103;1;Piège à Cloche Moustiquaire - Dmerc 125W - Examen Macroscopique;54;13;3209
2;146;4/7/2017;1204;1204;Hada plebeja (Linnaeus, 1761);249493;940746.99769533;6434167.9465494;;2154;1;1942;103;1;Piège à Cloche Moustiquaire - Dmerc 125W - Examen Macroscopique;54;13;3210
2;146;4/7/2017;1204;1204;Scopula ternata (Schrank, 1802);248510;940746.99769533;6434167.9465494;;2154;1;1942;103;1;Piège à Cloche Moustiquaire - Dmerc 125W - Examen Macroscopique;54;13;3211
2;146;4/7/2017;1204;1204;Apamea maillardi (Geyer, 1834);249394;940746.99769533;6434167.9465494;;2154;1;1942;103;1;Piège à Cloche Moustiquaire - Dmerc 125W - Genitalia;54;13;3212
2;146;4/7/2017;1204;1204;Perizoma obsoletata (Herrich-Schäffer, 1838);248740;940746.99769533;6434167.9465494;;2154;1;1942;103;1;Piège à Cloche Moustiquaire - Dmerc 125W - Examen Macroscopique;54;13;3213
2;146;4/7/2017;1204;1204;Siona lineata (Scopoli, 1763);248939;940746.99769533;6434167.9465494;;2154;1;1942;103;1;Piège à Cloche Moustiquaire - Dmerc 125W - Examen Macroscopique;54;13;3214
2;146;4/7/2017;1204;1204;Eupithecia veratraria Herrich-Schäffer, 1848;248659;940746.99769533;6434167.9465494;;2154;1;1942;103;1;Piège à Cloche Moustiquaire - Dmerc 125W - Examen Macroscopique;54;13;3215
2;146;4/7/2017;1204;1204;Macaria brunneata (Thunberg, 1784);249004;940746.99769533;6434167.9465494;;2154;1;1942;103;1;Piège à Cloche Moustiquaire - Dmerc 125W - Examen Macroscopique;54;13;3216
2;146;4/7/2017;1204;1204;Athetis pallustris (Hübner, 1808);249540;940746.99769533;6434167.9465494;;2154;1;1942;103;1;Piège à Cloche Moustiquaire - Dmerc 125W - Examen Macroscopique;54;13;3217
2;146;4/7/2017;1204;1204;Setina irrorella (Linnaeus, 1758);249088;940746.99769533;6434167.9465494;;2154;1;1942;103;1;Piège à Cloche Moustiquaire - Dmerc 125W - Examen Macroscopique;54;13;3218
2;146;4/7/2017;1204;1204;Cabera exanthemata (Scopoli, 1763);248913;940746.99769533;6434167.9465494;;2154;1;1942;103;1;Piège à Cloche Moustiquaire - Dmerc 125W - Examen Macroscopique;54;13;3219
2;146;4/7/2017;1204;1204;Polia bombycina (Hufnagel, 1766);249448;940746.99769533;6434167.9465494;;2154;1;1942;103;1;Piège à Cloche Moustiquaire - Dmerc 125W - Examen Macroscopique;54;13;3220
2;146;4/7/2017;1204;1204;Autographa bractea (Denis & Schiffermüller, 1775);249154;940746.99769533;6434167.9465494;;2154;1;1942;103;1;Piège à Cloche Moustiquaire - Dmerc 125W - Examen Macroscopique;54;13;3221
2;146;4/7/2017;1204;1204;Notodonta dromedarius (Linnaeus, 1767);54578;940746.99769533;6434167.9465494;;2154;1;1942;103;1;Piège à Cloche Moustiquaire - Dmerc 125W - Examen Macroscopique;54;13;3222
2;146;4/7/2017;1204;1204;Agrotis simplonia (Geyer, 1832);249208;940746.99769533;6434167.9465494;;2154;1;1942;103;1;Piège à Cloche Moustiquaire - Dmerc 125W - Examen Macroscopique;54;13;3223
2;146;4/7/2017;1204;1204;Perizoma alchemillata (Linnaeus, 1758);248732;940746.99769533;6434167.9465494;;2154;1;1942;103;1;Piège à Cloche Moustiquaire - Dmerc 125W - Examen Macroscopique;54;13;3224
2;146;4/7/2017;1204;1204;Gnophos obfuscata (Denis & Schiffermüller, 1775);248967;940746.99769533;6434167.9465494;;2154;1;1942;103;1;Piège à Cloche Moustiquaire - Dmerc 125W - Examen Macroscopique;54;13;3225
2;146;4/7/2017;1204;1204;Diacrisia sannio (Linnaeus, 1758);249061;940746.99769533;6434167.9465494;;2154;1;1942;103;1;Piège à Cloche Moustiquaire - Dmerc 125W - Examen Macroscopique;54;13;3226
2;146;4/7/2017;1204;1204;Eupithecia icterata (Villers, 1789);248679;940746.99769533;6434167.9465494;;2154;1;1942;103;1;Piège à Cloche Moustiquaire - Dmerc 125W - Examen Macroscopique;54;13;3227
2;146;4/7/2017;1204;1204;Opisthograptis luteolata (Linnaeus, 1758);248938;940746.99769533;6434167.9465494;;2154;1;1942;103;1;Piège à Cloche Moustiquaire - Dmerc 125W - Examen Macroscopique;54;13;3228
2;146;4/7/2017;1204;1204;Scopula immorata (Linnaeus, 1758);248491;940746.99769533;6434167.9465494;;2154;1;1942;103;1;Piège à Cloche Moustiquaire - Dmerc 125W - Examen Macroscopique;54;13;3229
2;146;4/7/2017;1204;1204;Epirrhoe galiata (Denis & Schiffermüller, 1775);248775;940746.99769533;6434167.9465494;;2154;1;1942;103;1;Piège à Cloche Moustiquaire - Dmerc 125W - Examen Macroscopique;54;13;3230
2;146;4/7/2017;1204;1204;Colostygia olivata (Denis & Schiffermüller, 1775);248545;940746.99769533;6434167.9465494;;2154;1;1942;103;1;Piège à Cloche Moustiquaire - Dmerc 125W - Examen Macroscopique;54;13;3231
2;146;4/7/2017;1204;1204;Euphyia frustata (Treitschke, 1828);248589;940746.99769533;6434167.9465494;;2154;1;1942;103;1;Piège à Cloche Moustiquaire - Dmerc 125W - Examen Macroscopique;54;13;3232
2;146;4/7/2017;1204;1204;Drepana falcataria (Linnaeus, 1758);248387;940746.99769533;6434167.9465494;;2154;1;1942;103;1;Piège à Cloche Moustiquaire - Dmerc 125W - Examen Macroscopique;54;13;3233
2;146;4/7/2017;1204;1204;Catarhoe cuculata (Hufnagel, 1767);248781;940746.99769533;6434167.9465494;;2154;1;1942;103;1;Piège à Cloche Moustiquaire - Dmerc 125W - Examen Macroscopique;54;13;3234
2;146;4/7/2017;1204;1204;Mesoligia furuncula (Denis & Schiffermüller, 1775);249342;940746.99769533;6434167.9465494;;2154;1;1942;103;1;Piège à Cloche Moustiquaire - Dmerc 125W - Examen Macroscopique;54;13;3235
2;146;4/7/2017;1204;1204;Xanthorhoe fluctuata (Linnaeus, 1758);248784;940746.99769533;6434167.9465494;;2154;1;1942;103;1;Piège à Cloche Moustiquaire - Dmerc 125W - Examen Macroscopique;54;13;3236
2;146;4/7/2017;1204;1204;Lacanobia contigua (Denis & Schiffermüller, 1775);249461;940746.99769533;6434167.9465494;;2154;1;1942;103;1;Piège à Cloche Moustiquaire - Dmerc 125W - Examen Macroscopique;54;13;3237
2;146;4/7/2017;1204;1204;Hydriomena ruberata (Freyer, 1831);248690;940746.99769533;6434167.9465494;;2154;1;1942;103;1;Piège à Cloche Moustiquaire - Dmerc 125W - Examen Macroscopique;54;13;3238
2;146;4/7/2017;1204;1204;Xestia ashworthii (Doubleday, 1855);249222;940746.99769533;6434167.9465494;;2154;1;1942;103;1;Piège à Cloche Moustiquaire - Dmerc 125W - Examen Macroscopique;54;13;3239
2;146;4/7/2017;1204;1204;Ceramica pisi (Linnaeus, 1758);249499;940746.99769533;6434167.9465494;;2154;1;1942;103;1;Piège à Cloche Moustiquaire - Dmerc 125W - Examen Macroscopique;54;13;3240
2;146;4/7/2017;1204;1204;Perizoma albulata (Denis & Schiffermüller, 1775);248738;940746.99769533;6434167.9465494;;2154;1;1942;103;1;Piège à Cloche Moustiquaire - Dmerc 125W - Examen Macroscopique;54;13;3241
2;146;4/7/2017;1204;1204;Dysstroma truncata (Hufnagel, 1767);248567;940746.99769533;6434167.9465494;;2154;1;1942;103;1;Piège à Cloche Moustiquaire - Dmerc 125W - Examen Macroscopique;54;13;3242
2;146;4/7/2017;1204;1204;Eilema lurideola (Zincken, 1817);249095;940746.99769533;6434167.9465494;;2154;1;1942;103;1;Piège à Cloche Moustiquaire - Dmerc 125W - Examen Macroscopique;54;13;3243
2;146;4/7/2017;1204;1204;Epirrhoe molluginata (Hübner, 1813);248774;940746.99769533;6434167.9465494;;2154;1;1942;103;1;Piège à Cloche Moustiquaire - Dmerc 125W - Examen Macroscopique;54;13;3244
2;146;4/7/2017;1204;1204;Eupithecia cretaceata (Packard, 1874);248660;940746.99769533;6434167.9465494;;2154;1;1942;103;1;Piège à Cloche Moustiquaire - Dmerc 125W - Examen Macroscopique;54;13;3245
2;146;4/7/2017;1204;1204;Hadena confusa (Hufnagel, 1766);249479;940746.99769533;6434167.9465494;;2154;1;1942;103;1;Piège à Cloche Moustiquaire - Dmerc 125W - Examen Macroscopique;54;13;3246
2;146;4/7/2017;1204;1204;Mythimna conigera (Denis & Schiffermüller, 1775);249546;940746.99769533;6434167.9465494;;2154;1;1942;103;1;Piège à Cloche Moustiquaire - Dmerc 125W - Examen Macroscopique;54;13;3247
2;146;4/7/2017;1204;1204;Pheosia gnoma (Fabricius, 1776);54617;940746.99769533;6434167.9465494;;2154;1;1942;103;1;Piège à Cloche Moustiquaire - Dmerc 125W - Examen Macroscopique;54;13;3248
2;146;4/7/2017;1204;1204;Selenia dentaria (Fabricius, 1775);248924;940746.99769533;6434167.9465494;;2154;1;1942;103;1;Piège à Cloche Moustiquaire - Dmerc 125W - Examen Macroscopique;54;13;3249
2;146;4/7/2017;1204;1204;Caradrina gilva (Donzel, 1837);781877;940746.99769533;6434167.9465494;;2154;1;1942;103;1;Piège à Cloche Moustiquaire - Dmerc 125W - Examen Macroscopique;54;13;3250
2;146;4/7/2017;1204;1204;Rusina ferruginea (Esper, 1785);249507;940746.99769533;6434167.9465494;;2154;1;1942;103;1;Piège à Cloche Moustiquaire - Dmerc 125W - Examen Macroscopique;54;13;3251
2;146;4/7/2017;1204;1204;Hadena tephroleuca (Boisduval, 1833);249492;940746.99769533;6434167.9465494;;2154;1;1942;103;1;Piège à Cloche Moustiquaire - Dmerc 125W - Examen Macroscopique;54;13;3252
2;146;4/7/2017;1204;1204;Mniotype adusta (Esper, 1790);249598;940746.99769533;6434167.9465494;;2154;1;1942;103;1;Piège à Cloche Moustiquaire - Dmerc 125W - Genitalia;54;13;3253
2;146;4/7/2017;1204;1204;Mythimna anderreggii (Boisduval, 1840);778098;940746.99769533;6434167.9465494;;2154;1;1942;103;1;Piège à Cloche Moustiquaire - Dmerc 125W - Examen Macroscopique;54;13;3254
2;146;4/7/2017;1204;1204;Gnophos furvata (Denis & Schiffermüller, 1775);248966;940746.99769533;6434167.9465494;;2154;1;1942;103;1;Piège à Cloche Moustiquaire - Dmerc 125W - Examen Macroscopique;54;13;3255
2;146;26/7/2017;1204;1204;Epipsilia grisescens (Fabricius, 1794);345591;942463.10179503;6432731.8973765;;2154;1;2763;103;1;Piège à Cloche Moustiquaire - LepiLed - Examen Macroscopique;54;13;3256
2;146;26/7/2017;1204;1204;Elophos unicoloraria (Staudinger, 1871);248947;942463.10179503;6432731.8973765;;2154;1;2763;103;1;Piège à Cloche Moustiquaire - LepiLed - Examen Macroscopique;54;13;3257
2;146;27/7/2017;1204;1204;Perizoma blandiata (Denis & Schiffermüller, 1775);248737;941565.87458605;6432152.3675734;;2154;1;1983;103;1;Piège à Cloche Moustiquaire - LepiLed - Examen Macroscopique;54;13;3258
2;146;27/7/2017;1204;1204;Entephria caesiata (Denis & Schiffermüller, 1775);248704;941565.87458605;6432152.3675734;;2154;1;1983;103;1;Piège à Cloche Moustiquaire - LepiLed - Examen Macroscopique;54;13;3259
2;146;27/7/2017;1204;1204;Charissa glaucinaria (Hübner, 1799);458686;941565.87458605;6432152.3675734;;2154;1;1983;103;1;Piège à Cloche Moustiquaire - LepiLed - Examen Macroscopique;54;13;3260
2;146;27/7/2017;1204;1204;Xestia ochreago (Hübner, 1809);249226;941565.87458605;6432152.3675734;;2154;1;1983;103;1;Piège à Cloche Moustiquaire - LepiLed - Examen Macroscopique;54;13;3261
2;146;27/7/2017;1204;1204;Cosmorhoe ocellata (Linnaeus, 1758);248584;941565.87458605;6432152.3675734;;2154;1;1983;103;1;Piège à Cloche Moustiquaire - LepiLed - Examen Macroscopique;54;13;3262
2;146;27/7/2017;1204;1204;Euphyia frustata (Treitschke, 1828);248589;941565.87458605;6432152.3675734;;2154;1;1983;103;1;Piège à Cloche Moustiquaire - LepiLed - Examen Macroscopique;54;13;3263
2;146;27/7/2017;1204;1204;Setina irrorella (Linnaeus, 1758);249088;941565.87458605;6432152.3675734;;2154;1;1983;103;1;Piège à Cloche Moustiquaire - LepiLed - Examen Macroscopique;54;13;3264
2;146;27/7/2017;1204;1204;Eilema lurideola (Zincken, 1817);249095;941565.87458605;6432152.3675734;;2154;1;1983;103;1;Piège à Cloche Moustiquaire - LepiLed - Examen Macroscopique;54;13;3265
2;146;27/7/2017;1204;1204;Epirrhoe galiata (Denis & Schiffermüller, 1775);248775;941565.87458605;6432152.3675734;;2154;1;1983;103;1;Piège à Cloche Moustiquaire - LepiLed - Examen Macroscopique;54;13;3266
2;146;27/7/2017;1204;1204;Lasiocampa quercus (Linnaeus, 1758);54770;941565.87458605;6432152.3675734;;2154;1;1983;103;1;Piège à Cloche Moustiquaire - LepiLed - Examen Macroscopique;54;13;3267
2;146;27/7/2017;1204;1204;Thera cognata (Thunberg & Sebaldt, 1792);248558;941565.87458605;6432152.3675734;;2154;1;1983;103;1;Piège à Cloche Moustiquaire - LepiLed - Examen Macroscopique;54;13;3268
2;146;27/7/2017;1204;1204;Coscinia cribraria (Linnaeus, 1758);445269;941565.87458605;6432152.3675734;;2154;1;1983;103;1;Piège à Cloche Moustiquaire - LepiLed - Examen Macroscopique;54;13;3269
